DataSize,NodeCount,Trial,Method,F1,Sensitivity,Specificity,Precision,SHD,ReversedEdges,Score,Iterations,EdgeCount
1499,31,1,AdaCSE,0.264150943396226,0.28,0.955128205128205,0.25,42,6,-41877.9553253299,200,31
1499,31,1,PSX,0.263157894736842,0.283018867924528,0.950854700854701,0.245901639344262,43.5,3,-42621.1833497563,200,32
1499,31,1,EKGA-std,0.2,0.254901960784314,0.92948717948718,0.164556962025316,54.5,5,-42745.9810388543,100,42
1499,31,1,AESL-GA,0.228070175438596,0.254901960784314,0.946581196581197,0.206349206349206,46.5,5,-42134.8461175823,200,34
1499,31,1,hybrid-SLA,0.230769230769231,0.25,0.952991452991453,0.214285714285714,44,8,-41903.2754718655,200,32
1499,31,1,MIGA,0.222222222222222,0.25,0.948717948717949,0.2,46,8,-41979.388256034,200,34
1499,31,1,MAGA,0.228070175438597,0.26530612244898,0.944444444444444,0.2,47.5,7,-42243.9413629646,200,36
1499,31,2,AdaCSE,0.245283018867925,0.254901960784314,0.955128205128205,0.236363636363636,42.5,5,-41911.6966856312,200,30
1499,31,2,PSX,0.241379310344828,0.259259259259259,0.948717948717949,0.225806451612903,45,2,-42477.0361019291,200,32
1499,31,2,EKGA-std,0.206896551724138,0.25,0.94017094017094,0.176470588235294,50,8,-42498.6758677809,100,38
1499,31,2,AESL-GA,0.169811320754717,0.176470588235294,0.950854700854701,0.163636363636364,46.5,5,-42260.1313584213,200,30
1499,31,2,hybrid-SLA,0.285714285714286,0.307692307692308,0.952991452991453,0.266666666666667,42,4,-41910.69045065,200,32
1499,31,2,MIGA,0.254545454545455,0.28,0.950854700854701,0.233333333333333,44,6,-41917.1893453035,200,33
1499,31,2,MAGA,0.2,0.215686274509804,0.948717948717949,0.186440677966102,46.5,5,-42068.3783212994,200,32
1499,31,3,AdaCSE,0.254545454545455,0.28,0.950854700854701,0.233333333333333,44,6,-41900.4571366001,200,33
1499,31,3,PSX,0.189655172413793,0.215686274509804,0.942307692307692,0.169230769230769,49.5,5,-42467.7078528489,200,35
1499,31,3,EKGA-std,0.258064516129032,0.333333333333333,0.935897435897436,0.210526315789474,50,8,-42729.0033292533,100,42
1499,31,3,AESL-GA,0.254901960784314,0.254901960784314,0.959401709401709,0.254901960784314,40.5,5,-42096.6778275745,200,28
1499,31,3,hybrid-SLA,0.230769230769231,0.25,0.952991452991453,0.214285714285714,44,8,-41892.2368639957,200,32
1499,31,3,MIGA,0.290909090909091,0.307692307692308,0.955128205128205,0.275862068965517,41,4,-41929.8063445456,200,31
1499,31,3,MAGA,0.228070175438596,0.254901960784314,0.946581196581197,0.206349206349206,46.5,5,-42246.020111952,200,34
1499,31,4,AdaCSE,0.259259259259259,0.28,0.952991452991453,0.241379310344828,43,6,-41914.5745625942,200,32
1499,31,4,PSX,0.263157894736842,0.294117647058824,0.948717948717949,0.238095238095238,44.5,5,-42493.6279568762,200,34
1499,31,4,EKGA-std,0.213114754098361,0.254901960784314,0.938034188034188,0.183098591549296,50.5,5,-42661.6007954516,100,38
1499,31,4,AESL-GA,0.192307692307692,0.2,0.952991452991453,0.185185185185185,45,6,-41983.2389337244,200,30
1499,31,4,hybrid-SLA,0.207547169811321,0.224489795918367,0.950854700854701,0.192982456140351,45.5,7,-41927.4167588499,200,32
1499,31,4,MIGA,0.285714285714286,0.307692307692308,0.952991452991453,0.266666666666667,42,4,-41895.0651977702,200,32
1499,31,4,MAGA,0.220338983050847,0.245283018867925,0.944444444444444,0.2,47.5,3,-42039.9100216932,200,34
1499,31,5,AdaCSE,0.264150943396226,0.28,0.955128205128205,0.25,42,6,-41908.065035778,200,31
1499,31,5,PSX,0.274509803921569,0.28,0.959401709401709,0.269230769230769,40,6,-42290.9528795578,200,29
1499,31,5,EKGA-std,0.3,0.36,0.944444444444444,0.257142857142857,45,6,-42955.4667898031,100,38
1499,31,5,AESL-GA,0.203703703703704,0.207547169811321,0.952991452991453,0.2,44.5,3,-42153.2674535647,200,29
1499,31,5,hybrid-SLA,0.245283018867925,0.26530612244898,0.952991452991453,0.228070175438596,43.5,7,-41877.1723879791,200,32
1499,31,5,MIGA,0.259259259259259,0.28,0.952991452991453,0.241379310344828,43,6,-41916.9228459714,200,32
1499,31,5,MAGA,0.181818181818182,0.2,0.946581196581197,0.166666666666667,48,6,-42159.2252305179,200,33
1499,31,6,AdaCSE,0.277777777777778,0.294117647058824,0.955128205128205,0.263157894736842,41.5,5,-41907.1997466568,200,31
1499,31,6,PSX,0.212121212121212,0.259259259259259,0.931623931623932,0.179487179487179,53,2,-42668.0284571123,200,40
1499,31,6,EKGA-std,0.206349206349206,0.254901960784314,0.933760683760684,0.173333333333333,52.5,5,-42758.6977043422,100,40
1499,31,6,AESL-GA,0.214285714285714,0.230769230769231,0.948717948717949,0.2,46,4,-42256.8182660264,200,32
1499,31,6,hybrid-SLA,0.245283018867925,0.26530612244898,0.952991452991453,0.228070175438596,43.5,7,-41913.9402289317,200,32
1499,31,6,MIGA,0.25,0.26530612244898,0.955128205128205,0.236363636363636,42.5,7,-41874.2556473562,200,31
1499,31,6,MAGA,0.288135593220339,0.320754716981132,0.948717948717949,0.261538461538462,43.5,3,-42129.2179376657,200,34
1499,31,7,AdaCSE,0.277777777777778,0.306122448979592,0.952991452991453,0.254237288135593,42.5,7,-41928.9353697983,200,33
1499,31,7,PSX,0.220338983050847,0.236363636363636,0.946581196581197,0.206349206349206,46.5,1,-42566.289093384,200,32
1499,31,7,EKGA-std,0.220338983050847,0.254901960784314,0.942307692307692,0.194029850746269,48.5,5,-42651.0381717105,100,36
1499,31,7,AESL-GA,0.222222222222222,0.24,0.950854700854701,0.206896551724138,45,6,-42099.1261894861,200,32
1499,31,7,hybrid-SLA,0.259259259259259,0.28,0.952991452991453,0.241379310344828,43,6,-41879.8279948294,200,32
1499,31,7,MIGA,0.25,0.26530612244898,0.955128205128205,0.236363636363636,42.5,7,-41881.919190716,200,31
1499,31,7,MAGA,0.23728813559322,0.269230769230769,0.944444444444444,0.212121212121212,47,4,-42337.9141646894,200,35
1499,31,8,AdaCSE,0.259259259259259,0.269230769230769,0.955128205128205,0.25,42,4,-41942.0116697445,200,30
1499,31,8,PSX,0.216666666666667,0.245283018867925,0.942307692307692,0.194029850746269,48.5,3,-42561.8375502201,200,35
1499,31,8,EKGA-std,0.206349206349206,0.254901960784314,0.933760683760684,0.173333333333333,52.5,5,-42690.9262035511,100,40
1499,31,8,AESL-GA,0.166666666666667,0.176470588235294,0.948717948717949,0.157894736842105,47.5,5,-42020.2100879523,200,31
1499,31,8,hybrid-SLA,0.218181818181818,0.24,0.948717948717949,0.2,46,6,-41911.4137071406,200,33
1499,31,8,MIGA,0.254545454545455,0.28,0.950854700854701,0.233333333333333,44,6,-41903.0565839751,200,33
1499,31,8,MAGA,0.206896551724138,0.230769230769231,0.944444444444444,0.1875,48,4,-42158.4137242114,200,34
1499,31,9,AdaCSE,0.264150943396226,0.28,0.955128205128205,0.25,42,6,-41914.5324206972,200,31
1499,31,9,PSX,0.23728813559322,0.269230769230769,0.944444444444444,0.212121212121212,47,4,-42634.9089938391,200,35
1499,31,9,EKGA-std,0.161290322580645,0.2,0.931623931623932,0.135135135135135,55,6,-42726.7891431703,100,40
1499,31,9,AESL-GA,0.166666666666667,0.176470588235294,0.948717948717949,0.157894736842105,47.5,5,-42344.747382096,200,31
1499,31,9,hybrid-SLA,0.188679245283019,0.208333333333333,0.948717948717949,0.172413793103448,47,8,-41959.4987797276,200,33
1499,31,9,MIGA,0.272727272727273,0.294117647058824,0.952991452991453,0.254237288135593,42.5,5,-41950.1268764306,200,32
1499,31,9,MAGA,0.226415094339623,0.24,0.952991452991453,0.214285714285714,44,6,-41986.6729645252,200,31
1499,31,10,AdaCSE,0.245283018867925,0.26530612244898,0.952991452991453,0.228070175438596,43.5,7,-41857.2677071112,200,32
1499,31,10,PSX,0.232142857142857,0.245283018867925,0.950854700854701,0.220338983050847,44.5,3,-42514.5678032183,200,31
1499,31,10,EKGA-std,0.238095238095238,0.294117647058824,0.935897435897436,0.2,50.5,5,-42655.5105714783,100,40
1499,31,10,AESL-GA,0.240740740740741,0.254901960784314,0.952991452991453,0.228070175438596,43.5,5,-42015.2156207852,200,31
1499,31,10,hybrid-SLA,0.245283018867925,0.26530612244898,0.952991452991453,0.228070175438596,43.5,7,-41889.0373192697,200,32
1499,31,10,MIGA,0.259259259259259,0.28,0.952991452991453,0.241379310344828,43,6,-41893.8775353428,200,32
1499,31,10,MAGA,0.267857142857143,0.294117647058824,0.950854700854701,0.245901639344262,43.5,5,-42048.2077143784,200,33
