DataSize,NodeCount,Trial,Method,F1_TKDE,Sensitivity_TKDE,Precision_TKDE,Specificity_TKDE,SHD_FPFN,SHD_Rev1,TP,FP,FN,TN,ReversedEdges,Score,Iterations,EdgeCount
1499,31,1,AdaCSE,0.135593220338983,0.142857142857143,0.129032258064516,0.939051918735892,51,45,4,27,24,416,6,-41877.9553253299,200,31
1499,31,1,PSX,0.2,0.214285714285714,0.1875,0.940909090909091,48,45,6,26,22,414,3,-42621.1833497563,200,32
1499,31,1,EKGA-std,0.114285714285714,0.142857142857143,0.0952380952380952,0.914027149321267,62,57,4,38,24,404,5,-42745.9810388543,100,42
1499,31,1,AESL-GA,0.129032258064516,0.142857142857143,0.117647058823529,0.932126696832579,54,49,4,30,24,412,5,-42134.8461175823,200,34
1499,31,1,hybrid-SLA,0.0666666666666667,0.0714285714285714,0.0625,0.932584269662921,56,48,2,30,26,415,8,-41903.2754718655,200,32
1499,31,1,MIGA,0.0645161290322581,0.0714285714285714,0.0588235294117647,0.928089887640449,58,50,2,32,26,413,8,-41979.388256034,200,34
1499,31,1,MAGA,0.09375,0.107142857142857,0.0833333333333333,0.925675675675676,58,51,3,33,25,411,7,-42243.9413629646,200,36
1499,31,2,AdaCSE,0.137931034482759,0.142857142857143,0.133333333333333,0.941176470588235,50,45,4,26,24,416,5,-41911.6966856312,200,30
1499,31,2,PSX,0.2,0.214285714285714,0.1875,0.940774487471526,48,46,6,26,22,413,2,-42477.0361019291,200,32
1499,31,2,EKGA-std,0.0606060606060606,0.0714285714285714,0.0526315789473684,0.919101123595506,62,54,2,36,26,409,8,-42498.6758677809,100,38
1499,31,2,AESL-GA,0.0689655172413793,0.0714285714285714,0.0666666666666667,0.936651583710407,54,49,2,28,26,414,5,-42260.1313584213,200,30
1499,31,2,hybrid-SLA,0.2,0.214285714285714,0.1875,0.941043083900227,48,44,6,26,22,415,4,-41910.69045065,200,32
1499,31,2,MIGA,0.131147540983607,0.142857142857143,0.121212121212121,0.934537246049661,53,47,4,29,24,414,6,-41917.1893453035,200,33
1499,31,2,MAGA,0.1,0.107142857142857,0.09375,0.934389140271493,54,49,3,29,25,413,5,-42068.3783212994,200,32
1499,31,3,AdaCSE,0.131147540983607,0.142857142857143,0.121212121212121,0.934537246049661,53,47,4,29,24,414,6,-41900.4571366001,200,33
1499,31,3,PSX,0.0952380952380952,0.107142857142857,0.0857142857142857,0.927601809954751,57,52,3,32,25,410,5,-42467.7078528489,200,35
1499,31,3,EKGA-std,0.114285714285714,0.142857142857143,0.0952380952380952,0.914606741573034,62,54,4,38,24,407,8,-42729.0033292533,100,42
1499,31,3,AESL-GA,0.142857142857143,0.142857142857143,0.142857142857143,0.945701357466063,48,43,4,24,24,418,5,-42096.6778275745,200,28
1499,31,3,hybrid-SLA,0.0666666666666667,0.0714285714285714,0.0625,0.932584269662921,56,48,2,30,26,415,8,-41892.2368639957,200,32
1499,31,3,MIGA,0.203389830508475,0.214285714285714,0.193548387096774,0.943310657596372,47,43,6,25,22,416,4,-41929.8063445456,200,31
1499,31,3,MAGA,0.129032258064516,0.142857142857143,0.117647058823529,0.932126696832579,54,49,4,30,24,412,5,-42246.020111952,200,34
1499,31,4,AdaCSE,0.133333333333333,0.142857142857143,0.125,0.936794582392777,52,46,4,28,24,415,6,-41914.5745625942,200,32
1499,31,4,PSX,0.161290322580645,0.178571428571429,0.147058823529412,0.934389140271493,52,47,5,29,23,413,5,-42493.6279568762,200,34
1499,31,4,EKGA-std,0.121212121212121,0.142857142857143,0.105263157894737,0.923076923076923,58,53,4,34,24,408,5,-42661.6007954516,100,38
1499,31,4,AESL-GA,0.0689655172413793,0.0714285714285714,0.0666666666666667,0.936794582392777,54,48,2,28,26,415,6,-41983.2389337244,200,30
1499,31,4,hybrid-SLA,0.0666666666666667,0.0714285714285714,0.0625,0.932432432432432,56,49,2,30,26,414,7,-41927.4167588499,200,32
1499,31,4,MIGA,0.2,0.214285714285714,0.1875,0.941043083900227,48,44,6,26,22,415,4,-41895.0651977702,200,32
1499,31,4,MAGA,0.161290322580645,0.178571428571429,0.147058823529412,0.934090909090909,52,49,5,29,23,411,3,-42039.9100216932,200,34
1499,31,5,AdaCSE,0.135593220338983,0.142857142857143,0.129032258064516,0.939051918735892,51,45,4,27,24,416,6,-41908.065035778,200,31
1499,31,5,PSX,0.140350877192982,0.142857142857143,0.137931034482759,0.943566591422122,49,43,4,25,24,418,6,-42290.9528795578,200,29
1499,31,5,EKGA-std,0.181818181818182,0.214285714285714,0.157894736842105,0.927765237020316,54,48,6,32,22,411,6,-42955.4667898031,100,38
1499,31,5,AESL-GA,0.140350877192982,0.142857142857143,0.137931034482759,0.943181818181818,49,46,4,25,24,415,3,-42153.2674535647,200,29
1499,31,5,hybrid-SLA,0.1,0.107142857142857,0.09375,0.934684684684685,54,47,3,29,25,415,7,-41877.1723879791,200,32
1499,31,5,MIGA,0.133333333333333,0.142857142857143,0.125,0.936794582392777,52,46,4,28,24,415,6,-41916.9228459714,200,32
1499,31,5,MAGA,0.0655737704918033,0.0714285714285714,0.0606060606060606,0.930022573363431,57,51,2,31,26,412,6,-42159.2252305179,200,33
1499,31,6,AdaCSE,0.169491525423729,0.178571428571429,0.161290322580645,0.941176470588235,49,44,5,26,23,416,5,-41907.1997466568,200,31
1499,31,6,PSX,0.176470588235294,0.214285714285714,0.15,0.92255125284738,56,54,6,34,22,405,2,-42668.0284571123,200,40
1499,31,6,EKGA-std,0.117647058823529,0.142857142857143,0.1,0.918552036199095,60,55,4,36,24,406,5,-42758.6977043422,100,40
1499,31,6,AESL-GA,0.133333333333333,0.142857142857143,0.125,0.936507936507937,52,48,4,28,24,413,4,-42256.8182660264,200,32
1499,31,6,hybrid-SLA,0.1,0.107142857142857,0.09375,0.934684684684685,54,47,3,29,25,415,7,-41913.9402289317,200,32
1499,31,6,MIGA,0.101694915254237,0.107142857142857,0.0967741935483871,0.936936936936937,53,46,3,28,25,416,7,-41874.2556473562,200,31
1499,31,6,MAGA,0.225806451612903,0.25,0.205882352941176,0.938636363636364,48,45,7,27,21,413,3,-42129.2179376657,200,34
1499,31,7,AdaCSE,0.131147540983607,0.142857142857143,0.121212121212121,0.934684684684685,53,46,4,29,24,415,7,-41928.9353697983,200,33
1499,31,7,PSX,0.2,0.214285714285714,0.1875,0.940639269406393,48,47,6,26,22,412,1,-42566.289093384,200,32
1499,31,7,EKGA-std,0.125,0.142857142857143,0.111111111111111,0.927601809954751,56,51,4,32,24,410,5,-42651.0381717105,100,36
1499,31,7,AESL-GA,0.1,0.107142857142857,0.09375,0.934537246049661,54,48,3,29,25,414,6,-42099.1261894861,200,32
1499,31,7,hybrid-SLA,0.133333333333333,0.142857142857143,0.125,0.936794582392777,52,46,4,28,24,415,6,-41879.8279948294,200,32
1499,31,7,MIGA,0.101694915254237,0.107142857142857,0.0967741935483871,0.936936936936937,53,46,3,28,25,416,7,-41881.919190716,200,31
1499,31,7,MAGA,0.158730158730159,0.178571428571429,0.142857142857143,0.931972789115646,53,49,5,30,23,411,4,-42337.9141646894,200,35
1499,31,8,AdaCSE,0.172413793103448,0.178571428571429,0.166666666666667,0.943310657596372,48,44,5,25,23,416,4,-41942.0116697445,200,30
1499,31,8,PSX,0.158730158730159,0.178571428571429,0.142857142857143,0.931818181818182,53,50,5,30,23,410,3,-42561.8375502201,200,35
1499,31,8,EKGA-std,0.117647058823529,0.142857142857143,0.1,0.918552036199095,60,55,4,36,24,406,5,-42690.9262035511,100,40
1499,31,8,AESL-GA,0.0677966101694915,0.0714285714285714,0.0645161290322581,0.934389140271493,55,50,2,29,26,413,5,-42020.2100879523,200,31
1499,31,8,hybrid-SLA,0.0983606557377049,0.107142857142857,0.0909090909090909,0.932279909706546,55,49,3,30,25,413,6,-41911.4137071406,200,33
1499,31,8,MIGA,0.131147540983607,0.142857142857143,0.121212121212121,0.934537246049661,53,47,4,29,24,414,6,-41903.0565839751,200,33
1499,31,8,MAGA,0.129032258064516,0.142857142857143,0.117647058823529,0.931972789115646,54,50,4,30,24,411,4,-42158.4137242114,200,34
1499,31,9,AdaCSE,0.135593220338983,0.142857142857143,0.129032258064516,0.939051918735892,51,45,4,27,24,416,6,-41914.5324206972,200,31
1499,31,9,PSX,0.158730158730159,0.178571428571429,0.142857142857143,0.931972789115646,53,49,5,30,23,411,4,-42634.9089938391,200,35
1499,31,9,EKGA-std,0.0588235294117647,0.0714285714285714,0.05,0.914221218961625,64,58,2,38,26,405,6,-42726.7891431703,100,40
1499,31,9,AESL-GA,0.0677966101694915,0.0714285714285714,0.0645161290322581,0.934389140271493,55,50,2,29,26,413,5,-42344.747382096,200,31
1499,31,9,hybrid-SLA,0.0327868852459016,0.0357142857142857,0.0303030303030303,0.928089887640449,59,51,1,32,27,413,8,-41959.4987797276,200,33
1499,31,9,MIGA,0.166666666666667,0.178571428571429,0.15625,0.938914027149321,50,45,5,27,23,415,5,-41950.1268764306,200,32
1499,31,9,MAGA,0.101694915254237,0.107142857142857,0.0967741935483871,0.936794582392777,53,47,3,28,25,415,6,-41986.6729645252,200,31
1499,31,10,AdaCSE,0.1,0.107142857142857,0.09375,0.934684684684685,54,47,3,29,25,415,7,-41857.2677071112,200,32
1499,31,10,PSX,0.169491525423729,0.178571428571429,0.161290322580645,0.940909090909091,49,46,5,26,23,414,3,-42514.5678032183,200,31
1499,31,10,EKGA-std,0.147058823529412,0.178571428571429,0.125,0.920814479638009,58,53,5,35,23,407,5,-42655.5105714783,100,40
1499,31,10,AESL-GA,0.135593220338983,0.142857142857143,0.129032258064516,0.938914027149321,51,46,4,27,24,415,5,-42015.2156207852,200,31
1499,31,10,hybrid-SLA,0.1,0.107142857142857,0.09375,0.934684684684685,54,47,3,29,25,415,7,-41889.0373192697,200,32
1499,31,10,MIGA,0.133333333333333,0.142857142857143,0.125,0.936794582392777,52,46,4,28,24,415,6,-41893.8775353428,200,32
1499,31,10,MAGA,0.163934426229508,0.178571428571429,0.151515151515152,0.936651583710407,51,46,5,28,23,414,5,-42048.2077143784,200,33
